               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  11,            0.041389,            0.013437,           0.0062047,              0.7483,             0.55615,             0.60583,             0.49129,            0.024985,            0.010628,           0.0023934,             0.00802,             0.00802,             0.00802
                  12,             0.04077,            0.012716,           0.0057538,              0.7456,             0.55145,             0.60772,             0.48813,            0.026167,             0.01047,           0.0025062,            0.007822,            0.007822,            0.007822
                  13,            0.039661,            0.012837,           0.0054563,             0.71501,             0.56849,             0.60789,              0.4983,            0.024749,            0.010504,            0.002423,            0.007624,            0.007624,            0.007624
                  14,            0.038631,            0.011656,           0.0053055,             0.74393,             0.54874,              0.6102,             0.49659,             0.02492,            0.010581,           0.0023921,            0.007426,            0.007426,            0.007426
                  15,            0.038311,            0.011805,           0.0053391,             0.73789,             0.55796,             0.60812,                0.49,            0.023849,            0.010367,           0.0023602,            0.007228,            0.007228,            0.007228
                  16,            0.037716,            0.011915,           0.0050877,             0.77127,             0.55098,             0.62656,             0.50435,            0.023264,            0.010208,           0.0021514,             0.00703,             0.00703,             0.00703
                  17,            0.038042,            0.012098,           0.0052599,             0.73593,             0.54946,             0.59227,              0.4798,            0.024468,             0.01086,           0.0021345,            0.006832,            0.006832,            0.006832
                  18,             0.03749,            0.011936,           0.0050426,             0.74258,             0.55592,             0.61693,             0.49766,            0.023594,            0.010372,           0.0022961,            0.006634,            0.006634,            0.006634
                  19,            0.037311,            0.012287,           0.0050552,             0.75158,             0.56891,             0.63443,             0.51251,            0.022452,            0.010236,           0.0021416,            0.006436,            0.006436,            0.006436
                  20,            0.037224,            0.012334,           0.0050452,             0.76188,             0.57522,             0.63879,             0.52257,            0.022919,            0.010016,           0.0019693,            0.006238,            0.006238,            0.006238
                  21,             0.03598,            0.011858,           0.0046888,             0.78332,              0.5709,             0.64774,             0.52193,             0.02259,           0.0098808,           0.0019764,             0.00604,             0.00604,             0.00604
                  22,            0.036719,            0.012085,           0.0049956,             0.78024,              0.5854,             0.64153,             0.52435,            0.022626,           0.0099793,           0.0020195,            0.005842,            0.005842,            0.005842
                  23,            0.036292,            0.012106,           0.0045401,             0.79169,             0.57904,             0.64847,             0.52132,            0.022424,           0.0099185,           0.0019089,            0.005644,            0.005644,            0.005644
                  24,             0.03545,            0.011709,           0.0044299,             0.76807,             0.59457,             0.65152,             0.51739,            0.022271,           0.0099423,           0.0017817,            0.005446,            0.005446,            0.005446
                  25,            0.034726,            0.011175,           0.0042848,             0.76108,             0.58798,             0.65262,             0.52083,            0.022295,           0.0099626,           0.0018967,            0.005248,            0.005248,            0.005248
                  26,            0.035089,            0.011734,           0.0043254,             0.77313,             0.59612,             0.65883,             0.53349,            0.022216,           0.0097964,           0.0017633,             0.00505,             0.00505,             0.00505
                  27,            0.035151,            0.011578,            0.004282,             0.79605,             0.58014,             0.65926,             0.53585,             0.02138,           0.0097078,           0.0018009,            0.004852,            0.004852,            0.004852
                  28,             0.03503,             0.01173,           0.0041222,             0.78444,             0.58382,             0.66031,             0.53511,            0.021586,           0.0095965,           0.0018107,            0.004654,            0.004654,            0.004654
                  29,            0.034654,            0.011339,           0.0040812,             0.79211,             0.59922,             0.66774,             0.53762,            0.021359,           0.0096407,            0.001755,            0.004456,            0.004456,            0.004456
                  30,            0.034484,            0.011492,           0.0042352,             0.80259,             0.59575,             0.67393,             0.54747,            0.021371,           0.0095716,           0.0017753,            0.004258,            0.004258,            0.004258
                  31,            0.033782,            0.011239,           0.0039363,             0.78757,             0.60198,             0.67349,             0.55081,            0.021338,           0.0094752,           0.0016074,             0.00406,             0.00406,             0.00406
                  32,             0.03364,            0.011348,           0.0038599,             0.76943,              0.6238,             0.68655,             0.55314,            0.020454,           0.0093053,           0.0015364,            0.003862,            0.003862,            0.003862
                  33,            0.034164,            0.011371,           0.0040043,             0.80768,              0.5952,             0.67154,             0.54463,            0.020851,            0.009527,           0.0016947,            0.003664,            0.003664,            0.003664
                  34,            0.033289,            0.010826,           0.0037469,              0.7879,              0.6086,             0.68651,             0.54943,            0.020869,           0.0094925,           0.0016392,            0.003466,            0.003466,            0.003466
                  35,            0.033452,            0.011023,           0.0037959,             0.79647,             0.60654,             0.67694,             0.55412,            0.020663,           0.0093208,           0.0015662,            0.003268,            0.003268,            0.003268
                  36,            0.032204,            0.010561,            0.003509,             0.81113,             0.61737,             0.69162,              0.5578,            0.020442,           0.0092963,           0.0015725,             0.00307,             0.00307,             0.00307
                  37,            0.032527,            0.010824,           0.0036135,             0.81274,             0.61716,             0.70022,             0.56889,            0.020368,           0.0092585,            0.001666,            0.002872,            0.002872,            0.002872
                  38,            0.033117,            0.011321,           0.0037834,             0.80694,              0.6068,             0.68173,             0.55209,             0.02026,            0.009321,           0.0015222,            0.002674,            0.002674,            0.002674
                  39,            0.032954,            0.011091,           0.0035708,             0.82763,             0.61495,             0.69826,              0.5626,            0.020064,           0.0091746,           0.0015265,            0.002476,            0.002476,            0.002476
                  40,            0.032214,            0.010993,           0.0033789,             0.83769,             0.62036,               0.702,             0.56845,            0.019953,           0.0091449,            0.001584,            0.002278,            0.002278,            0.002278
                  41,             0.03255,            0.010989,           0.0035158,             0.80223,             0.62305,             0.69641,             0.56547,            0.019777,           0.0091502,           0.0014509,             0.00208,             0.00208,             0.00208
                  42,            0.031331,            0.010568,           0.0032583,             0.81533,             0.62147,             0.70035,              0.5705,            0.019734,           0.0091953,           0.0014259,            0.001882,            0.001882,            0.001882
                  43,            0.031977,            0.010708,           0.0033183,             0.82398,             0.62095,             0.71049,              0.5722,            0.019868,           0.0091296,           0.0014167,            0.001684,            0.001684,            0.001684
                  44,            0.030615,           0.0098116,           0.0029498,             0.81837,             0.62916,             0.70519,             0.57323,            0.020038,           0.0090935,           0.0013488,            0.001486,            0.001486,            0.001486
                  45,            0.030843,            0.010529,           0.0031379,             0.83741,              0.6225,             0.70912,             0.57689,            0.019566,           0.0089697,           0.0014206,            0.001288,            0.001288,            0.001288
                  46,             0.03113,            0.010805,           0.0031758,             0.83013,             0.62004,             0.70803,             0.57824,            0.019406,           0.0089578,           0.0014383,             0.00109,             0.00109,             0.00109
                  47,            0.030805,            0.010938,            0.003019,             0.83741,             0.62529,             0.70479,             0.58095,             0.01929,           0.0089396,           0.0013897,            0.000892,            0.000892,            0.000892
                  48,            0.030426,            0.010354,           0.0030488,             0.81474,             0.63998,             0.70785,             0.57625,            0.019264,           0.0089624,           0.0014306,            0.000694,            0.000694,            0.000694
                  49,            0.029938,            0.010081,           0.0028855,             0.82064,             0.62972,             0.71082,             0.57703,            0.019339,           0.0089438,           0.0013759,            0.000496,            0.000496,            0.000496
