               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084173,            0.030055,            0.016784,             0.49695,             0.38318,             0.35632,             0.25925,            0.047845,            0.015615,           0.0066005,           0.0033229,           0.0033229,            0.070094
                   1,            0.064799,            0.016252,            0.010821,             0.58092,             0.42992,             0.43826,             0.31893,            0.040555,            0.013502,           0.0051304,           0.0065244,           0.0065244,            0.039963
                   2,            0.062147,            0.015769,           0.0093669,             0.50985,             0.43131,             0.44401,             0.33697,            0.040295,            0.013652,            0.004286,           0.0095939,           0.0095939,           0.0096988
                   3,            0.056832,            0.014812,           0.0084031,             0.61349,             0.48941,             0.51067,              0.3989,             0.03492,            0.013907,           0.0038601,            0.009406,            0.009406,            0.009406
                   4,             0.05198,            0.015215,           0.0079734,             0.66604,             0.50252,             0.53543,              0.4304,            0.032607,            0.012058,           0.0032082,            0.009406,            0.009406,            0.009406
                   5,            0.048442,            0.014145,           0.0072694,             0.70374,             0.51926,             0.56356,             0.45068,            0.032667,            0.012011,           0.0029021,            0.009208,            0.009208,            0.009208
                   6,              0.0467,            0.013874,           0.0068294,             0.71747,             0.52134,             0.56177,             0.44587,            0.029449,             0.01152,           0.0030337,             0.00901,             0.00901,             0.00901
                   7,            0.044798,            0.013594,           0.0068317,             0.70909,             0.53279,             0.57432,             0.46376,             0.02823,            0.011234,           0.0027773,            0.008812,            0.008812,            0.008812
                   8,            0.043335,            0.012723,            0.006373,              0.6907,             0.53001,             0.57156,             0.45785,            0.027814,            0.011246,           0.0027904,            0.008614,            0.008614,            0.008614
                   9,            0.043329,            0.013483,           0.0067579,             0.70712,             0.54294,             0.57094,             0.46445,            0.026624,            0.011213,           0.0025945,            0.008416,            0.008416,            0.008416
                  10,            0.042093,            0.013248,           0.0061494,             0.73244,             0.54745,             0.59598,             0.48809,            0.025777,            0.010769,           0.0025005,            0.008218,            0.008218,            0.008218
