               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084232,            0.030363,            0.016806,             0.42144,             0.36336,               0.314,             0.13464,            0.051052,            0.015615,           0.0069496,           0.0033229,           0.0033229,            0.070094
                   1,            0.064903,            0.016312,            0.010878,             0.41352,             0.44354,             0.38158,             0.15449,            0.044673,            0.012986,           0.0048392,           0.0065244,           0.0065244,            0.039963
                   2,            0.061579,            0.015797,           0.0092336,             0.42298,             0.44852,             0.39388,             0.15617,            0.048962,            0.012846,           0.0042132,           0.0095939,           0.0095939,           0.0096988
                   3,            0.058221,             0.01527,           0.0088834,             0.63537,              0.4526,             0.48144,             0.24988,            0.035026,            0.012909,           0.0039876,            0.009406,            0.009406,            0.009406
                   4,            0.053178,            0.015662,           0.0080533,             0.69708,              0.4691,             0.52156,             0.27458,            0.032695,            0.012151,            0.003424,            0.009406,            0.009406,            0.009406
                   5,            0.048911,            0.014271,           0.0074337,             0.70004,             0.49606,             0.53537,             0.27518,            0.031428,            0.012256,           0.0031614,            0.009208,            0.009208,            0.009208
                   6,             0.04683,            0.013958,           0.0069522,              0.6861,             0.51061,             0.54964,             0.28636,              0.0314,            0.011706,            0.002952,             0.00901,             0.00901,             0.00901
                   7,            0.044905,            0.013608,           0.0068277,              0.6885,             0.53215,             0.57166,             0.30164,            0.028884,             0.01124,           0.0026834,            0.008812,            0.008812,            0.008812
                   8,            0.043519,            0.012768,           0.0064264,              0.6722,             0.53042,             0.56961,             0.31122,            0.027949,             0.01112,           0.0028023,            0.008614,            0.008614,            0.008614
                   9,            0.043237,            0.013446,            0.006666,             0.72935,             0.53157,             0.57716,             0.32736,            0.026452,            0.010901,           0.0026466,            0.008416,            0.008416,            0.008416
                  10,            0.042175,            0.013338,           0.0062851,             0.72108,             0.53883,             0.58147,             0.32777,            0.025815,             0.01095,           0.0024123,            0.008218,            0.008218,            0.008218
                  11,            0.041733,            0.013661,           0.0063155,             0.72144,             0.53495,             0.57844,             0.33405,            0.025084,            0.010964,           0.0024153,             0.00802,             0.00802,             0.00802
                  12,            0.040772,            0.012927,           0.0058548,             0.71745,             0.54575,             0.59191,             0.32682,            0.027041,            0.010643,           0.0024146,            0.007822,            0.007822,            0.007822
                  13,            0.039825,            0.012934,           0.0056335,             0.75991,             0.55728,             0.61277,             0.34262,            0.025116,            0.010559,           0.0024617,            0.007624,            0.007624,            0.007624
                  14,            0.038524,              0.0116,           0.0052631,              0.7083,             0.56002,             0.59804,             0.34005,            0.024674,            0.010503,           0.0023039,            0.007426,            0.007426,            0.007426
                  15,            0.038419,            0.011772,            0.005422,             0.73526,             0.56591,             0.61222,             0.34536,            0.024354,            0.010419,           0.0023365,            0.007228,            0.007228,            0.007228
                  16,            0.037814,            0.011941,            0.005127,             0.72883,             0.56462,             0.61391,             0.35037,            0.023512,            0.010294,           0.0022766,             0.00703,             0.00703,             0.00703
                  17,            0.037846,            0.012045,           0.0050871,             0.72012,             0.56369,             0.61604,             0.35316,             0.02392,            0.010297,           0.0023039,            0.006832,            0.006832,            0.006832
                  18,            0.037453,            0.011839,           0.0051017,             0.74435,             0.57137,               0.624,             0.35839,            0.023682,            0.010261,           0.0021742,            0.006634,            0.006634,            0.006634
                  19,            0.037376,            0.012224,           0.0050727,             0.77177,             0.56695,             0.63545,             0.36734,            0.022696,             0.01012,           0.0023136,            0.006436,            0.006436,            0.006436
                  20,            0.037467,            0.012403,           0.0051001,             0.79108,             0.56891,             0.63641,              0.3643,            0.023242,            0.010137,           0.0019412,            0.006238,            0.006238,            0.006238
                  21,            0.036159,            0.011881,           0.0046943,              0.7578,             0.58969,             0.64599,             0.36699,            0.022851,            0.010026,           0.0019601,             0.00604,             0.00604,             0.00604
                  22,            0.036675,            0.012152,           0.0046999,             0.77254,             0.56623,             0.64023,             0.37278,            0.023008,            0.010049,           0.0021101,            0.005842,            0.005842,            0.005842
                  23,            0.036313,            0.012157,           0.0047555,             0.77093,             0.57059,             0.64523,             0.37139,            0.022278,           0.0099285,           0.0018263,            0.005644,            0.005644,            0.005644
                  24,            0.035515,            0.011815,            0.004451,             0.75926,             0.57954,             0.64333,             0.36419,            0.022613,           0.0099776,           0.0016432,            0.005446,            0.005446,            0.005446
                  25,            0.034892,            0.011272,           0.0042957,             0.78942,             0.57273,              0.6531,              0.3727,            0.022364,           0.0098694,           0.0017506,            0.005248,            0.005248,            0.005248
                  26,            0.035324,            0.011772,           0.0043892,             0.77386,             0.57918,             0.65274,             0.37614,            0.022315,           0.0097786,           0.0018508,             0.00505,             0.00505,             0.00505
                  27,            0.035236,            0.011593,           0.0042485,             0.76755,             0.59349,             0.65738,             0.38037,            0.022146,           0.0097295,           0.0016815,            0.004852,            0.004852,            0.004852
                  28,            0.035113,             0.01181,           0.0042609,             0.76875,             0.58285,             0.65396,             0.37488,            0.021752,           0.0096526,           0.0018366,            0.004654,            0.004654,            0.004654
                  29,            0.034691,            0.011419,           0.0040615,             0.78497,             0.59424,             0.66691,             0.38487,            0.021551,           0.0094799,           0.0017693,            0.004456,            0.004456,            0.004456
                  30,            0.034699,            0.011554,           0.0042676,             0.75343,             0.61314,             0.66383,             0.38568,            0.021975,           0.0095648,            0.001815,            0.004258,            0.004258,            0.004258
                  31,            0.033843,            0.011271,           0.0040282,             0.77044,             0.60732,             0.66832,             0.39339,            0.021524,           0.0095062,           0.0016968,             0.00406,             0.00406,             0.00406
                  32,            0.033757,            0.011408,           0.0038357,             0.78211,             0.60957,             0.67397,             0.39343,              0.0209,           0.0094253,           0.0016464,            0.003862,            0.003862,            0.003862
                  33,            0.033941,            0.011313,           0.0038207,              0.8195,             0.59927,             0.67882,              0.3965,            0.020884,           0.0094409,           0.0015278,            0.003664,            0.003664,            0.003664
                  34,            0.033296,            0.010797,           0.0036953,             0.82557,             0.60475,             0.68616,             0.40032,              0.0209,           0.0093229,           0.0015694,            0.003466,            0.003466,            0.003466
                  35,            0.033524,            0.011019,           0.0037642,             0.79029,             0.61546,             0.67983,             0.40331,            0.020807,           0.0092927,           0.0016699,            0.003268,            0.003268,            0.003268
                  36,            0.032154,             0.01054,           0.0034805,             0.79016,             0.61987,             0.69405,             0.40492,            0.020466,           0.0093122,           0.0014764,             0.00307,             0.00307,             0.00307
                  37,            0.032638,            0.010843,           0.0036351,             0.80742,             0.63352,             0.69626,             0.41052,             0.02046,           0.0092803,           0.0015529,            0.002872,            0.002872,            0.002872
                  38,            0.033125,            0.011324,           0.0037081,             0.80026,             0.62539,             0.69163,             0.40911,            0.020186,           0.0092424,           0.0014198,            0.002674,            0.002674,            0.002674
                  39,            0.032964,            0.011117,           0.0036426,             0.82037,             0.61709,             0.69321,             0.41177,            0.020016,           0.0090917,           0.0013877,            0.002476,            0.002476,            0.002476
                  40,            0.032345,            0.011043,            0.003443,             0.81321,             0.61773,             0.69819,             0.41265,             0.02001,           0.0091297,           0.0014967,            0.002278,            0.002278,            0.002278
                  41,            0.032683,            0.011047,           0.0035866,             0.80159,             0.61251,             0.68881,             0.40924,            0.019941,           0.0091623,           0.0013544,             0.00208,             0.00208,             0.00208
                  42,            0.031428,            0.010632,           0.0032144,             0.80992,             0.61638,             0.69528,              0.4087,            0.020015,           0.0091899,            0.001355,            0.001882,            0.001882,            0.001882
                  43,            0.031946,             0.01076,           0.0033348,             0.80051,             0.62894,             0.69736,             0.41409,            0.019675,            0.009106,           0.0014194,            0.001684,            0.001684,            0.001684
                  44,             0.03065,           0.0098222,           0.0030258,             0.81861,             0.62779,             0.70307,             0.41699,            0.020067,           0.0089764,           0.0014193,            0.001486,            0.001486,            0.001486
                  45,            0.030882,            0.010552,            0.003132,             0.82082,             0.63352,             0.70518,             0.41798,            0.019523,           0.0089804,           0.0013904,            0.001288,            0.001288,            0.001288
                  46,            0.031229,            0.010866,            0.003236,             0.79653,             0.64758,              0.7054,              0.4185,            0.019407,           0.0089759,           0.0014503,             0.00109,             0.00109,             0.00109
                  47,            0.030873,            0.010981,           0.0030175,             0.85332,             0.61364,             0.70804,             0.42085,            0.019328,           0.0089404,           0.0014141,            0.000892,            0.000892,            0.000892
                  48,            0.030512,            0.010387,           0.0030407,             0.83468,             0.62236,             0.70234,             0.42045,            0.019267,           0.0089532,           0.0014493,            0.000694,            0.000694,            0.000694
                  49,            0.030037,            0.010101,           0.0028662,             0.86198,             0.62418,             0.71364,             0.41886,            0.019417,           0.0089047,            0.001404,            0.000496,            0.000496,            0.000496
